Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
64bb2e50-b189-3d5d-b80a-64d39d23f18b,5c9703e5-3bc1-32c6-b387-2fcb4dd11d64,Pandora807 Weissnat378,F,GENERAL PRACTICE,Georg-Schwarz-Straße 59,Leipzig,Sachsen,04177,51.3432039,12.3189279,2627
784a45ad-46a5-36e7-8f25-ed560dcbd93a,d044fdb3-a85d-3ccc-94cd-bac7ab78db77,Cody889 Hilpert278,M,GENERAL PRACTICE,Leipziger Straße 45,Schkeuditz,Sachsen,04435,51.3955646,12.2337809,39
a990aaa4-61f0-3004-9939-5978f6121c7f,c9a82c46-a467-3410-86ad-092bdddaf5e6,Giovanni385 Greenfelder433,M,GENERAL PRACTICE,Nikolai-Rumjanzew-Straße 100,Leipzig,Sachsen,04207,51.3185012,12.3019232,169
438f9e92-3bff-3eab-8f7a-5ea1b0ab2322,dedd9677-d9b8-33f3-b10a-fb57a5d820d0,Esteban536 Kassulke119,M,GENERAL PRACTICE,Biedermannstraße 84,Leipzig,Sachsen,04277,51.3036397,12.3786193,1842
069cf98e-06bc-3ad9-b6bb-4b83491b0299,3e6a6db4-6817-3ea9-85f3-41f1b8fb9f81,Lilliana632 Brakus656,F,GENERAL PRACTICE,Liebigstraße 18,Leipzig,Sachsen,04103,51.328644,12.3865487,4028
1887c8c1-4d94-3349-83b3-2123bf45de29,77d98253-4137-3ef1-97d3-719a4bfd5401,Angila948 Hamill307,F,GENERAL PRACTICE,,Taucha,Sachsen,04425,51.3789238,12.4919534,187
27bbdf73-63ab-3998-8679-72a06d051810,d7a9273f-b66f-38ed-ab60-77656eeeedaa,Shea825 Jenkins714,F,GENERAL PRACTICE,Leipziger Straße 41,Taucha,Sachsen,04425,51.3790918,12.4919136,383
562aba68-e721-3394-9e71-d703c35d476f,4ef863ec-781e-3c52-8b23-c1b7f868f8fa,Moses679 Johnston597,M,GENERAL PRACTICE,Marschnerstraße 23,Leipzig,Sachsen,04109,51.3370114,12.3556964,851
281729cf-7178-3af7-8e6f-2628631491cd,b46443de-5073-3588-89ff-4ea947c96b42,Dallas143 Hayes766,F,GENERAL PRACTICE,Mottelerstraße 15,Leipzig,Sachsen,04155,51.3649353,12.3564774,4759
f2814b70-1454-3f4d-81c3-4c79570aed36,2a8aa9e8-2a14-3450-a593-7c27fda634dc,Felton646 Kshlerin58,M,GENERAL PRACTICE,,Leipzig,Sachsen,04109,51.3443731,12.3900742,8062
14771115-bad9-3a2c-8e57-7a0499e80898,46961db7-95f1-3528-afc6-d834fd92354b,Sanford861 Frami345,M,GENERAL PRACTICE,Telemannstraße 6,Leipzig,Sachsen,04109,51.3273849,12.3661369,893
04625599-d741-3c24-9163-261df12267f7,b1d6e778-ae42-36fb-affd-11bb851d078c,Mohamed943 Walker122,M,GENERAL PRACTICE,Hugo-Krone-Platz 9,Leipzig,Sachsen,04158,51.3938605,12.3732171,10254
d5abd1a6-162b-3188-9c80-156e9e68df1e,0bc72cb1-87cf-3249-bf00-b5d228ef5e42,Kitty323 Torphy630,F,GENERAL PRACTICE,,Leipzig,Sachsen,04109,51.3462014,12.3598351,1248
0d6507b2-820a-3aaa-97f4-95b9c9866b95,4ffa3c28-0af0-36d0-bb3f-cf47ede5444e,Delmar187 Lakin515,M,GENERAL PRACTICE,Karl-Heine-Straße 24,Leipzig,Sachsen,04177,51.3326226,12.3417428,1701
2d4add7b-724e-3df7-b4d1-6e00f4237c59,b114be6c-b778-3ef1-b2e8-48ff8c50d578,Jonah176 Marks830,M,GENERAL PRACTICE,Karl-Tauchnitz-Straße 7,Leipzig,Sachsen,04109,51.334433,12.3670137,889
8c295087-b804-347c-93d1-9ba5bb9e2d44,291374df-33b4-3514-86d3-2b533724dd57,Elvin140 O'Conner199,M,GENERAL PRACTICE,,Leipzig,Sachsen,04275,51.3173585,12.3703823,1444
eb64b3ff-2c0b-3ee0-a799-68426996ade7,2c911722-57fc-3e80-bd58-78dcde69f6b6,Pei116 Gulgowski816,F,GENERAL PRACTICE,Waldstraße 14,Leipzig,Sachsen,04109,51.3432237,12.3590864,180
1841a619-40c4-3c78-8e50-a0341f1e6a1a,2440f425-915c-3b81-b858-b938a19a797e,Emilie407 Jakubowski832,F,GENERAL PRACTICE,,Leipzig,Sachsen,04209,51.3178425,12.29775,2375
56041f4d-044b-3aeb-a7e9-38dbf5338cc7,7dcfec97-fe59-32d0-9438-bfbb3145be91,Guadalupe206 Brekke496,M,GENERAL PRACTICE,Grünauer Allee 49,Leipzig,Sachsen,04209,51.3232099,12.302453,1081
dd2a2b9e-bf6b-3d7e-b3a7-16d15b6053ac,f4016de2-ae21-3830-a035-333fb1731b9e,Major265 Predovic534,M,GENERAL PRACTICE,Straße am Park 2,Leipzig,Sachsen,04209,51.3164196,12.3046294,1410
150ea556-ef7b-3620-b9e3-becda2bac208,f6814004-539d-3a52-ae51-23b7ee8a18ac,Ermelinda113 Emmerich580,F,GENERAL PRACTICE,Georg-Schwarz-Straße 59,Leipzig,Sachsen,04177,51.3432039,12.3189279,1303
5579c3b7-fed8-3c92-aa27-02eed73e5b87,504c1b17-f688-368b-856d-3b5941bf0668,Nathan164 Mills423,M,GENERAL PRACTICE,Leipziger Straße 45,Schkeuditz,Sachsen,04435,51.3955646,12.2337809,86
b0d36822-80d3-332d-b10d-7796d00059fd,bb0ba473-def5-35c1-8e40-f7c97bcd2252,Garland107 King743,M,GENERAL PRACTICE,Biedermannstraße 84,Leipzig,Sachsen,04277,51.3036397,12.3786193,1141
a570fb06-ee34-310f-92d1-a062ed1e7852,3cd97eec-bd1f-3e09-8528-88c0fad038d9,Huong243 Bruen238,F,GENERAL PRACTICE,Liebigstraße 18,Leipzig,Sachsen,04103,51.328644,12.3865487,1630
f4d7cb7e-c9ec-392b-a56d-65efa67f1540,0d57c608-42e4-3879-9b6f-c5e33137a9d9,Malika385 Lesch175,F,GENERAL PRACTICE,,Taucha,Sachsen,04425,51.3789238,12.4919534,160
f0152225-d289-3e4f-99f9-a85cb942b9fc,98c648b0-17a8-3814-8727-2b826336f6de,Claribel706 Stroman228,F,GENERAL PRACTICE,Leipziger Straße 41,Taucha,Sachsen,04425,51.3790918,12.4919136,242
91aba559-d2c1-3427-9fc3-905840e75122,7a352336-99c6-32b4-8bbf-6deb3c9d42a3,Dane516 Nicolas769,M,GENERAL PRACTICE,Marschnerstraße 23,Leipzig,Sachsen,04109,51.3370114,12.3556964,504
1ba062f7-7664-35fb-bbcd-524c6e9cd951,edce3cf4-ff68-3e64-8010-ad3dbd00e827,Zoraida650 Hettinger594,F,GENERAL PRACTICE,Mottelerstraße 15,Leipzig,Sachsen,04155,51.3649353,12.3564774,2498
9931f8ce-b5d2-3add-bc67-95780ceb54c3,b0746430-1839-3a53-953b-616124452bb8,Sherwood961 Rath779,M,GENERAL PRACTICE,,Leipzig,Sachsen,04109,51.3443731,12.3900742,4366
000f61fc-5e0d-3fb1-ab27-e85af3fc4393,fad09cbf-8ce3-3662-9d77-dc7344776155,Duncan491 Leannon79,M,GENERAL PRACTICE,Telemannstraße 6,Leipzig,Sachsen,04109,51.3273849,12.3661369,413
88b2ba2e-adae-3876-9e41-f75300a29ef0,62cc61b0-0abe-3461-8b52-0ef9c8edfd67,Brock407 Donnelly343,M,GENERAL PRACTICE,Hugo-Krone-Platz 9,Leipzig,Sachsen,04158,51.3938605,12.3732171,5639
9aedad4c-1c13-342a-8770-bca40e60aabc,7a3e325c-0021-3279-b897-414b7f4d0d5e,Fe271 Carroll471,F,GENERAL PRACTICE,,Leipzig,Sachsen,04109,51.3462014,12.3598351,713
50f272aa-0118-3019-a5ec-5756a5ae9e6d,694a2870-0716-325c-a02a-dcb1b1cf74b0,Dwain139 Lehner980,M,GENERAL PRACTICE,Karl-Heine-Straße 24,Leipzig,Sachsen,04177,51.3326226,12.3417428,1126
